family,type,size,budget,memory,threshold
deterministic,grid,5,0,1,
deterministic,grid,5,0,2,
deterministic,grid,5,0,3,
deterministic,grid,5,0,4,
deterministic,grid,5,0,5,
deterministic,grid,5,1,1,
deterministic,grid,5,1,2,
deterministic,grid,5,1,3,
deterministic,grid,5,1,4,
deterministic,grid,5,1,5,
deterministic,grid,5,2,1,
deterministic,grid,5,2,2,
deterministic,grid,5,2,3,
deterministic,grid,5,2,4,
deterministic,grid,5,2,5,
deterministic,grid,5,3,1,
deterministic,grid,5,3,2,
deterministic,grid,5,3,3,
deterministic,grid,5,3,4,
deterministic,grid,5,3,5,
deterministic,grid,5,4,1,
deterministic,grid,5,4,2,
deterministic,grid,5,4,3,
deterministic,grid,5,4,4,
deterministic,grid,5,4,5,
