family,type,size,budget,memory,threshold,time,status,reward
deterministic,grid,5,0,1,,0.000000,unsat,
deterministic,grid,5,0,2,,0.031250,sat,65/12
deterministic,grid,5,0,3,,0.140625,sat,65/12
deterministic,grid,5,0,4,,2.343750,sat,65/12
deterministic,grid,5,0,5,,74.234375,sat,65/12
deterministic,grid,5,1,1,,0.015625,unsat,
deterministic,grid,5,1,2,,0.093750,sat,115/24
deterministic,grid,5,1,3,,1.406250,sat,113/24
deterministic,grid,5,1,4,,38.781250,sat,113/24
deterministic,grid,5,1,5,,,timeout,
deterministic,grid,5,2,1,,0.015625,unsat,
deterministic,grid,5,2,2,,0.218750,sat,53/12
deterministic,grid,5,2,3,,4.203125,sat,53/12
deterministic,grid,5,2,4,,176.765625,sat,53/12
deterministic,grid,5,2,5,,,timeout,
deterministic,grid,5,3,1,,0.015625,unsat,
deterministic,grid,5,3,2,,0.281250,sat,103/24
deterministic,grid,5,3,3,,20.406250,sat,103/24
deterministic,grid,5,3,4,,,timeout,
deterministic,grid,5,3,5,,,timeout,
deterministic,grid,5,4,1,,0.015625,sat,25/6
deterministic,grid,5,4,2,,0.312500,sat,25/6
deterministic,grid,5,4,3,,76.750000,sat,25/6
deterministic,grid,5,4,4,,,timeout,
deterministic,grid,5,4,5,,,timeout,
