family,type,size,budget,memory,threshold,time,status,reward
deterministic,maze,7,0,1,,0.000000,unsat,
deterministic,maze,7,0,2,,0.000000,unsat,
deterministic,maze,7,0,3,,0.031250,unsat,
deterministic,maze,7,0,4,,0.343750,unsat,
deterministic,maze,7,0,5,,7.421875,unsat,
deterministic,maze,7,1,1,,0.000000,unsat,
deterministic,maze,7,1,2,,0.015625,unsat,
deterministic,maze,7,1,3,,0.250000,unsat,
deterministic,maze,7,1,4,,39.421875,sat,242/15
deterministic,maze,7,1,5,,,timeout,
deterministic,maze,7,2,1,,0.015625,unsat,
deterministic,maze,7,2,2,,0.031250,unsat,
deterministic,maze,7,2,3,,6.656250,unsat,
deterministic,maze,7,2,4,,46.843750,sat,118/15
deterministic,maze,7,2,5,,,timeout,
deterministic,maze,7,3,1,,0.000000,unsat,
deterministic,maze,7,3,2,,0.093750,unsat,
deterministic,maze,7,3,3,,45.843750,sat,134/15
deterministic,maze,7,3,4,,153.765625,sat,36/5
deterministic,maze,7,3,5,,,timeout,
deterministic,maze,7,4,1,,0.000000,unsat,
deterministic,maze,7,4,2,,0.218750,unsat,
deterministic,maze,7,4,3,,45.500000,sat,109/15
deterministic,maze,7,4,4,,,timeout,
deterministic,maze,7,4,5,,,timeout,
deterministic,maze,7,5,1,,0.000000,unsat,
deterministic,maze,7,5,2,,0.484375,unsat,
deterministic,maze,7,5,3,,55.812500,sat,33/5
deterministic,maze,7,5,4,,,timeout,
deterministic,maze,7,5,5,,,timeout,
deterministic,maze,7,6,1,,0.000000,unsat,
deterministic,maze,7,6,2,,1.671875,sat,34/5
deterministic,maze,7,6,3,,63.328125,sat,94/15
deterministic,maze,7,6,4,,,timeout,
deterministic,maze,7,6,5,,,timeout,
deterministic,maze,7,7,1,,0.015625,unsat,
deterministic,maze,7,7,2,,0.171875,sat,6
deterministic,maze,7,7,3,,58.343750,sat,89/15
deterministic,maze,7,7,4,,,timeout,
deterministic,maze,7,7,5,,,timeout,
deterministic,maze,7,8,1,,0.000000,unsat,
deterministic,maze,7,8,2,,0.484375,sat,86/15
deterministic,maze,7,8,3,,49.921875,sat,86/15
deterministic,maze,7,8,4,,,timeout,
deterministic,maze,7,8,5,,,timeout,
deterministic,maze,7,9,1,,0.000000,sat,28/5
deterministic,maze,7,9,2,,0.656250,sat,28/5
deterministic,maze,7,9,3,,43.359375,sat,28/5
deterministic,maze,7,9,4,,,timeout,
deterministic,maze,7,9,5,,,timeout,
