family,type,size,budget,memory,threshold,time,status,reward
deterministic,line,501,1,2,<=250,4.937500,sat,250
deterministic,line,501,1,2,<250,14.687500,unsat,
deterministic,line,101,1,3,<=4999/100,1.703125,sat,4999/100
deterministic,line,101,1,3,<4999/100,2.312500,unsat,
deterministic,line,101,1,4,<=4997/100,3.343750,sat,4997/100
deterministic,line,101,1,4,<4997/100,53.281250,unsat,
deterministic,maze,11,11,2,<=49/5,0.171875,sat,49/5
deterministic,maze,11,11,2,<49/5,124.156250,unsat,
deterministic,grid,5,0,5,<=65/12,0.578125,sat,65/12
deterministic,grid,5,0,5,<65/12,35.968750,unsat,
deterministic,grid,7,2,3,<=161/24,0.406250,sat,161/24
deterministic,grid,7,2,3,<161/24,11.453125,unsat,
