family,type,size,budget,memory,threshold,time,status,reward
deterministic,line,501,1,2,<=250,26.203125,sat,250
deterministic,line,501,1,2,<250,26.781250,unsat,
deterministic,line,101,1,3,<=4999/100,1.218750,sat,4999/100
deterministic,line,101,1,3,<4999/100,3.218750,unsat,
deterministic,line,101,1,4,<=4997/100,3.343750,sat,4997/100
deterministic,line,101,1,4,<4997/100,56.687500,unsat,
deterministic,maze,11,11,2,<=49/5,0.406250,sat,49/5
deterministic,maze,11,11,2,<49/5,100.406250,unsat,
deterministic,grid,5,0,5,<=65/12,1.750000,sat,65/12
deterministic,grid,5,0,5,<65/12,63.843750,unsat,
deterministic,grid,7,2,3,<=161/24,0.234375,sat,161/24
deterministic,grid,7,2,3,<161/24,26.500000,unsat,
