family,type,size,budget,memory,threshold
deterministic,line,15,0,1,
deterministic,line,15,0,2,
deterministic,line,15,0,3,
deterministic,line,15,0,4,
deterministic,line,15,0,5,
deterministic,line,15,0,6,
deterministic,line,15,0,7,
deterministic,line,15,0,8,
deterministic,line,15,1,1,
deterministic,line,15,1,2,
deterministic,line,15,1,3,
deterministic,line,15,1,4,
deterministic,line,15,1,5,
deterministic,line,15,1,6,
deterministic,line,15,1,7,
deterministic,line,15,1,8,
deterministic,line,15,2,1,
deterministic,line,15,2,2,
deterministic,line,15,2,3,
deterministic,line,15,2,4,
deterministic,line,15,2,5,
deterministic,line,15,2,6,
deterministic,line,15,2,7,
deterministic,line,15,2,8,
deterministic,line,15,3,1,
deterministic,line,15,3,2,
deterministic,line,15,3,3,
deterministic,line,15,3,4,
deterministic,line,15,3,5,
deterministic,line,15,3,6,
deterministic,line,15,3,7,
deterministic,line,15,3,8,
deterministic,line,15,4,1,
deterministic,line,15,4,2,
deterministic,line,15,4,3,
deterministic,line,15,4,4,
deterministic,line,15,4,5,
deterministic,line,15,4,6,
deterministic,line,15,4,7,
deterministic,line,15,4,8,
deterministic,line,15,5,1,
deterministic,line,15,5,2,
deterministic,line,15,5,3,
deterministic,line,15,5,4,
deterministic,line,15,5,5,
deterministic,line,15,5,6,
deterministic,line,15,5,7,
deterministic,line,15,5,8,
deterministic,line,15,6,1,
deterministic,line,15,6,2,
deterministic,line,15,6,3,
deterministic,line,15,6,4,
deterministic,line,15,6,5,
deterministic,line,15,6,6,
deterministic,line,15,6,7,
deterministic,line,15,6,8,
deterministic,line,15,7,1,
deterministic,line,15,7,2,
deterministic,line,15,7,3,
deterministic,line,15,7,4,
deterministic,line,15,7,5,
deterministic,line,15,7,6,
deterministic,line,15,7,7,
deterministic,line,15,7,8,
