family,type,size,budget,memory,threshold
general heuristics, line, 31, 1, 8, <= 227/15
trend2, line, 31, 1, 8, <= 227/15
general heuristics, line, 31, 1, 7, <= 149/10
trend2, line, 31, 1, 7, <= 149/10
general heuristics, line, 31, 1, 4, <= 149/10
trend2, line, 31, 1, 4, <= 149/10
general heuristics, line, 31, 1, 4, <= 15
trend2, line, 31, 1, 4, <= 15

general heuristics, line, 21, 1, 5, <= 97/10
trend2, line, 21, 1, 5, <= 97/10
general heuristics, line, 21, 1, 4, <= 197/20
trend2, line, 21, 1, 4, <= 197/20
general heuristics, line, 21, 1, 3, <= 199/20
trend2, line, 21, 1, 3, <= 199/20
general heuristics, line, 21, 1, 2, <= 10
trend2, line, 21, 1, 2, <= 10

reasoning: we need something that can be run with general heuristics, and we need to show how more memory impacts each level
