family,type,size,budget,memory,threshold
deterministic,maze,7,0,1,
deterministic,maze,7,0,2,
deterministic,maze,7,0,3,
deterministic,maze,7,0,4,
deterministic,maze,7,0,5,
deterministic,maze,7,1,1,
deterministic,maze,7,1,2,
deterministic,maze,7,1,3,
deterministic,maze,7,1,4,
deterministic,maze,7,1,5,
deterministic,maze,7,2,1,
deterministic,maze,7,2,2,
deterministic,maze,7,2,3,
deterministic,maze,7,2,4,
deterministic,maze,7,2,5,
deterministic,maze,7,3,1,
deterministic,maze,7,3,2,
deterministic,maze,7,3,3,
deterministic,maze,7,3,4,
deterministic,maze,7,3,5,
deterministic,maze,7,4,1,
deterministic,maze,7,4,2,
deterministic,maze,7,4,3,
deterministic,maze,7,4,4,
deterministic,maze,7,4,5,
deterministic,maze,7,5,1,
deterministic,maze,7,5,2,
deterministic,maze,7,5,3,
deterministic,maze,7,5,4,
deterministic,maze,7,5,5,
deterministic,maze,7,6,1,
deterministic,maze,7,6,2,
deterministic,maze,7,6,3,
deterministic,maze,7,6,4,
deterministic,maze,7,6,5,
deterministic,maze,7,7,1,
deterministic,maze,7,7,2,
deterministic,maze,7,7,3,
deterministic,maze,7,7,4,
deterministic,maze,7,7,5,
deterministic,maze,7,8,1,
deterministic,maze,7,8,2,
deterministic,maze,7,8,3,
deterministic,maze,7,8,4,
deterministic,maze,7,8,5,
deterministic,maze,7,9,1,
deterministic,maze,7,9,2,
deterministic,maze,7,9,3,
deterministic,maze,7,9,4,
deterministic,maze,7,9,5,
