family,type,size,budget,memory,threshold,time,status,reward
deterministic,grid,5,0,1,,0.000000,unsat,
deterministic,grid,5,0,2,,0.015625,sat,65/12
deterministic,grid,5,0,3,,0.234375,sat,65/12
deterministic,grid,5,0,4,,4.281250,sat,65/12
deterministic,grid,5,0,5,,92.406250,sat,65/12
deterministic,grid,5,1,1,,0.000000,unsat,
deterministic,grid,5,1,2,,0.109375,sat,115/24
deterministic,grid,5,1,3,,1.984375,sat,113/24
deterministic,grid,5,1,4,,27.625000,sat,113/24
deterministic,grid,5,1,5,,,timeout,
deterministic,grid,5,2,1,,0.000000,unsat,
deterministic,grid,5,2,2,,0.093750,sat,53/12
deterministic,grid,5,2,3,,4.515625,sat,53/12
deterministic,grid,5,2,4,,63.234375,sat,53/12
deterministic,grid,5,2,5,,,timeout,
deterministic,grid,5,3,1,,0.015625,unsat,
deterministic,grid,5,3,2,,0.296875,sat,103/24
deterministic,grid,5,3,3,,3.125000,sat,103/24
deterministic,grid,5,3,4,,,timeout,
deterministic,grid,5,3,5,,,timeout,
deterministic,grid,5,4,1,,0.015625,sat,25/6
deterministic,grid,5,4,2,,0.156250,sat,25/6
deterministic,grid,5,4,3,,16.765625,sat,25/6
deterministic,grid,5,4,4,,,timeout,
deterministic,grid,5,4,5,,,timeout,
