family,type,size,budget,memory,threshold,time,status,reward
deterministic,line,15,0,1,,0.000000,unsat,
deterministic,line,15,0,2,,0.000000,unsat,
deterministic,line,15,0,3,,0.015625,unsat,
deterministic,line,15,0,4,,0.046875,unsat,
deterministic,line,15,0,5,,0.640625,unsat,
deterministic,line,15,0,6,,7.109375,unsat,
deterministic,line,15,0,7,,,timeout,
deterministic,line,15,0,8,,,timeout,
deterministic,line,15,1,1,,0.000000,unsat,
deterministic,line,15,1,2,,0.015625,sat,7
deterministic,line,15,1,3,,0.078125,sat,97/14
deterministic,line,15,1,4,,0.968750,sat,46/7
deterministic,line,15,1,5,,25.734375,sat,46/7
deterministic,line,15,1,6,,,timeout,
deterministic,line,15,1,7,,,timeout,
deterministic,line,15,1,8,,,timeout,
deterministic,line,15,2,1,,0.015625,unsat,
deterministic,line,15,2,2,,0.031250,sat,37/7
deterministic,line,15,2,3,,0.203125,sat,37/7
deterministic,line,15,2,4,,1.937500,sat,37/7
deterministic,line,15,2,5,,20.000000,sat,37/7
deterministic,line,15,2,6,,,timeout,
deterministic,line,15,2,7,,,timeout,
deterministic,line,15,2,8,,,timeout,
deterministic,line,15,3,1,,0.000000,unsat,
deterministic,line,15,3,2,,0.046875,sat,33/7
deterministic,line,15,3,3,,0.328125,sat,33/7
deterministic,line,15,3,4,,1.328125,sat,33/7
deterministic,line,15,3,5,,28.718750,sat,33/7
deterministic,line,15,3,6,,,timeout,
deterministic,line,15,3,7,,,timeout,
deterministic,line,15,3,8,,,timeout,
deterministic,line,15,4,1,,0.015625,unsat,
deterministic,line,15,4,2,,0.062500,sat,31/7
deterministic,line,15,4,3,,0.593750,sat,31/7
deterministic,line,15,4,4,,3.140625,sat,31/7
deterministic,line,15,4,5,,34.828125,sat,31/7
deterministic,line,15,4,6,,,timeout,
deterministic,line,15,4,7,,,timeout,
deterministic,line,15,4,8,,,timeout,
deterministic,line,15,5,1,,0.000000,unsat,
deterministic,line,15,5,2,,0.140625,sat,30/7
deterministic,line,15,5,3,,0.562500,sat,30/7
deterministic,line,15,5,4,,17.484375,sat,30/7
deterministic,line,15,5,5,,141.812500,sat,30/7
deterministic,line,15,5,6,,,timeout,
deterministic,line,15,5,7,,,timeout,
deterministic,line,15,5,8,,,timeout,
deterministic,line,15,6,1,,0.000000,unsat,
deterministic,line,15,6,2,,0.109375,sat,29/7
deterministic,line,15,6,3,,1.531250,sat,29/7
deterministic,line,15,6,4,,26.812500,sat,29/7
deterministic,line,15,6,5,,152.812500,sat,29/7
deterministic,line,15,6,6,,,timeout,
deterministic,line,15,6,7,,,timeout,
deterministic,line,15,6,8,,,timeout,
deterministic,line,15,7,1,,0.000000,sat,4
deterministic,line,15,7,2,,0.046875,sat,4
deterministic,line,15,7,3,,0.562500,sat,4
deterministic,line,15,7,4,,33.015625,sat,4
deterministic,line,15,7,5,,,timeout,
deterministic,line,15,7,6,,,timeout,
deterministic,line,15,7,7,,,timeout,
deterministic,line,15,7,8,,,timeout,
