family,type,size,budget,memory,threshold,time,status,reward
deterministic,maze,7,0,1,,0.000000,unsat,
deterministic,maze,7,0,2,,0.000000,unsat,
deterministic,maze,7,0,3,,0.031250,unsat,
deterministic,maze,7,0,4,,0.312500,unsat,
deterministic,maze,7,0,5,,5.578125,unsat,
deterministic,maze,7,1,1,,0.000000,unsat,
deterministic,maze,7,1,2,,0.015625,unsat,
deterministic,maze,7,1,3,,0.265625,unsat,
deterministic,maze,7,1,4,,53.968750,sat,242/15
deterministic,maze,7,1,5,,,timeout,
deterministic,maze,7,2,1,,0.015625,unsat,
deterministic,maze,7,2,2,,0.031250,unsat,
deterministic,maze,7,2,3,,6.187500,unsat,
deterministic,maze,7,2,4,,20.531250,sat,118/15
deterministic,maze,7,2,5,,,timeout,
deterministic,maze,7,3,1,,0.015625,unsat,
deterministic,maze,7,3,2,,0.078125,unsat,
deterministic,maze,7,3,3,,38.515625,sat,134/15
deterministic,maze,7,3,4,,81.437500,sat,36/5
deterministic,maze,7,3,5,,,timeout,
deterministic,maze,7,4,1,,0.000000,unsat,
deterministic,maze,7,4,2,,0.171875,unsat,
deterministic,maze,7,4,3,,32.812500,sat,109/15
deterministic,maze,7,4,4,,,timeout,
deterministic,maze,7,4,5,,,timeout,
deterministic,maze,7,5,1,,0.000000,unsat,
deterministic,maze,7,5,2,,0.484375,unsat,
deterministic,maze,7,5,3,,33.578125,sat,33/5
deterministic,maze,7,5,4,,,timeout,
deterministic,maze,7,5,5,,,timeout,
deterministic,maze,7,6,1,,0.000000,unsat,
deterministic,maze,7,6,2,,1.500000,sat,34/5
deterministic,maze,7,6,3,,34.562500,sat,94/15
deterministic,maze,7,6,4,,,timeout,
deterministic,maze,7,6,5,,,timeout,
deterministic,maze,7,7,1,,0.000000,unsat,
deterministic,maze,7,7,2,,0.296875,sat,6
deterministic,maze,7,7,3,,24.906250,sat,89/15
deterministic,maze,7,7,4,,,timeout,
deterministic,maze,7,7,5,,,timeout,
deterministic,maze,7,8,1,,0.000000,unsat,
deterministic,maze,7,8,2,,0.875000,sat,86/15
deterministic,maze,7,8,3,,53.000000,sat,86/15
deterministic,maze,7,8,4,,,timeout,
deterministic,maze,7,8,5,,,timeout,
deterministic,maze,7,9,1,,0.000000,sat,28/5
deterministic,maze,7,9,2,,0.218750,sat,28/5
deterministic,maze,7,9,3,,13.343750,sat,28/5
deterministic,maze,7,9,4,,,timeout,
deterministic,maze,7,9,5,,,timeout,
